#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,North America,,"115,682,370",+14,"1,533,239",,"110,142,624","+3,281","4,006,507","8,467",,,,,,North America,,,,,,,
,,Asia,,"188,085,078","+128,137","1,476,288",+257,"181,865,607","+205,691","4,743,183","11,197",,,,,,Asia,,,,,,,
,,Europe,,"224,718,619","+68,641","1,915,384",+151,"218,821,968","+126,160","3,981,267","8,953",,,,,,Europe,,,,,,,
,,South America,,"63,957,661","+1,602","1,328,280",,"62,142,054","+4,617","487,327","10,304",,,,,,South America,,,,,,,
,,Oceania,,"12,304,377","+2,537","20,460",+8,"12,120,727","+1,474","163,190",108,,,,,,Australia/Oceania,,,,,,,
,,Africa,,"12,635,040",+17,"257,534",,"11,981,199",+81,"396,307","1,018",,,,,,Africa,,,,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,,,,
,World,"617,383,866","+200,948","6,531,200",+416,"597,074,885","+341,304","13,777,781","40,047","79,205",837.9,,,,All,,,,,,,
26,Greece,"4,838,811",,"33,829 ",,"4,780,817","+4,832","24,165",115,"469,301","3,281","92,282,015","8,950,142","10,310,676 ",Europe,23050,,,"2,344"
27,Malaysia,"4,818,890",,"36,312 ",,"4,756,967",,"25,611",60,"144,789","1,091","64,284,558","1,931,501","33,282,174 ",Asia,79171,,,770
28,DPRK,"4,772,813",,74 ,,"4,772,739",,0,,"183,370",3,,,"26,028,334 ",Asia,"5351,734",,,
29,Thailand,"4,673,629",+242,"32,643 ",+11,"4,632,640","+1,105","8,346","1,496","66,588",465,"17,270,775","246,069","70,186,771 ",Asia,"152,1504",3,0.2,119
30,Israel,"4,650,295",,"11,681 ",,"4,630,146",,"8,468",101,"498,638","1,253","41,373,364","4,436,346","9,326,000 ",Asia,27980,,,908
31,Chile,"4,587,152","+1,602","60,923 ",,"4,511,362",,"14,867",131,"235,496","3,128","44,767,596","2,298,286","19,478,686 ",South America,43200,82,,763
32,Belgium,"4,511,590",,"32,625 ",,"4,434,851","+1,381","44,114",52,"385,572","2,788","35,440,277","3,028,819","11,701,023 ",Europe,33590,,,"3,770"
33,Canada,"4,216,141",,"44,740 ",,"4,097,405","+3,269","73,996",99,"109,587","1,163","64,759,986","1,683,251","38,473,166 ",North America,98601,,,"1,923"
34,Peru,"4,132,687",,"216,309 ",,"3,900,959","+1,345","15,419",162,"121,597","6,365","34,842,182","1,025,173","33,986,627 ",South America,81571,,,454
35,Czechia,"4,074,269",+300,"40,956 ",+1,"4,017,354","+2,085","15,959",18,"378,901","3,809","56,103,973","5,217,589","10,752,854 ",Europe,32630,28,0.09,"1,484"
36,Switzerland,"4,053,996",,"14,171 ",,"3,989,409","+2,519","50,416",47,"460,973","1,611","22,207,189","2,525,143","8,794,429 ",Europe,26210,,,"5,733"
37,South Africa,"4,015,880",,"102,146 ",,"3,907,091",,"6,643",192,"65,876","1,676","26,174,429","429,365","60,960,743 ",Africa,155972,,,109
38,Philippines,"3,923,727","+3,119","62,587 ",+38,"3,833,454","+1,711","27,686",642,"34,784",555,"32,610,379","289,090","112,803,411 ",Asia,"291,8023",28,0.3,245
